id,fetched_at,spot_price,direction,strike,option_type,expiry,ltp,oi,volume,instrument_token
1,2026-02-19T11:53:02.673,25658.35,,25400.0,CE,2026-02-24,322.3,911560,1416480,16600322
2,2026-02-19T11:53:02.673,25658.35,,25400.0,PE,2026-02-24,52.7,4331145,31378880,16601346
3,2026-02-19T11:53:02.673,25658.35,,25450.0,CE,2026-02-24,283.45,160810,471055,16601602
4,2026-02-19T11:53:02.673,25658.35,,25450.0,PE,2026-02-24,62.85,2069015,22041565,16601858
5,2026-02-19T11:53:02.673,25658.35,,25500.0,CE,2026-02-24,245.15,3614325,7911345,16602114
6,2026-02-19T11:53:02.673,25658.35,,25500.0,PE,2026-02-24,75.45,8555235,56136015,16602370
7,2026-02-19T11:53:02.673,25658.35,,25550.0,CE,2026-02-24,210.4,636220,2488785,16602626
8,2026-02-19T11:53:02.673,25658.35,,25550.0,PE,2026-02-24,90.25,2381990,29874130,16602882
9,2026-02-19T11:53:02.673,25658.35,,25600.0,CE,2026-02-24,178.65,5188430,15259075,16603138
10,2026-02-19T11:53:02.673,25658.35,,25600.0,PE,2026-02-24,108.35,6280040,61234355,16603394
11,2026-02-19T11:53:02.673,25658.35,,25650.0,CE,2026-02-24,149.5,2778490,13991315,16603650
12,2026-02-19T11:53:02.673,25658.35,,25650.0,PE,2026-02-24,129.3,3216590,52956540,16603906
13,2026-02-19T11:53:02.673,25658.35,,25700.0,CE,2026-02-24,123.6,11452090,59949110,16604162
14,2026-02-19T11:53:02.673,25658.35,,25700.0,PE,2026-02-24,153.45,8468785,117494455,16604418
15,2026-02-19T11:53:02.673,25658.35,,25750.0,CE,2026-02-24,101.35,8078720,54205320,16604674
16,2026-02-19T11:53:02.673,25658.35,,25750.0,PE,2026-02-24,181.75,2813070,82702165,16604930
17,2026-02-19T11:53:02.673,25658.35,,25800.0,CE,2026-02-24,82.2,17281095,112404045,16605186
18,2026-02-19T11:53:02.673,25658.35,,25800.0,PE,2026-02-24,212.45,5263960,117213265,16605442
19,2026-02-19T11:53:02.673,25658.35,,25850.0,CE,2026-02-24,65.85,9014850,69377555,16605698
20,2026-02-19T11:53:02.673,25658.35,,25850.0,PE,2026-02-24,245.85,1607255,49806640,16605954
21,2026-02-19T11:53:02.673,25658.35,,25900.0,CE,2026-02-24,52.65,11618100,72712185,16606210
22,2026-02-19T11:53:02.673,25658.35,,25900.0,PE,2026-02-24,282.05,2288845,43992195,16606466
