id,recorded_at,step_type,strike,option_type,expiry,candle_time,open,high,low,close,raw_volume,is_interval_volume,incremental_volume,typical_price,formula,tpv_added,cum_tpv_before,cum_volume_before,vwap_before,cum_tpv_after,cum_volume_after,vwap_after
1,2026-02-19T11:53:02.715,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:15:00+05:30,224.0,229.7,205.15,215.9,1356680,1,1356680.0,218.6875,OHLC/4,296688957.5,0.0,0.0,,296688957.5,1356680.0,218.6875
2,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:20:00+05:30,217.4,234.0,213.3,215.05,1076335,1,1076335.0,219.9375,OHLC/4,236726429.0625,296688957.5,1356680.0,218.6875,533415386.5625,2433015.0,219.2404841575165
3,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:25:00+05:30,215.15,216.4,191.6,192.5,939380,1,939380.0,203.9125,OHLC/4,191551324.25,533415386.5625,2433015.0,219.2404841575165,724966710.8125,3372395.0,214.970877021375
4,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:30:00+05:30,192.55,195.8,184.0,185.7,780585,1,780585.0,189.5125,OHLC/4,147930614.8125,724966710.8125,3372395.0,214.970877021375,872897325.625,4152980.0,210.18577638828023
5,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:35:00+05:30,185.35,193.3,171.5,176.9,1181310,1,1181310.0,181.7625,OHLC/4,214717858.875,872897325.625,4152980.0,210.18577638828023,1087615184.5,5334290.0,203.89127409645894
6,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:40:00+05:30,177.25,180.55,173.45,174.4,735605,1,735605.0,176.4125,OHLC/4,129769917.0625,1087615184.5,5334290.0,203.89127409645894,1217385101.5625,6069895.0,200.56114670229056
7,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:45:00+05:30,174.4,190.7,172.65,187.75,1653275,1,1653275.0,181.375,OHLC/4,299862753.125,1217385101.5625,6069895.0,200.56114670229056,1517247854.6875,7723170.0,196.45402790402127
8,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:50:00+05:30,188.2,189.45,172.7,174.0,1109745,1,1109745.0,181.08749999999998,OHLC/4,200960947.68749997,1517247854.6875,7723170.0,196.45402790402127,1718208802.375,8832915.0,194.52341637783223
9,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 09:55:00+05:30,174.15,177.15,167.05,171.0,851305,1,851305.0,172.3375,OHLC/4,146711775.4375,1718208802.375,8832915.0,194.52341637783223,1864920577.8125,9684220.0,192.5731321482267
10,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:00:00+05:30,170.65,178.0,165.6,177.55,1361035,1,1361035.0,172.95,OHLC/4,235391003.24999997,1864920577.8125,9684220.0,192.5731321482267,2100311581.0625,11045255.0,190.15510108752582
11,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:05:00+05:30,177.6,179.75,170.45,173.45,845715,1,845715.0,175.3125,OHLC/4,148264410.9375,2100311581.0625,11045255.0,190.15510108752582,2248575992.0,11890970.0,189.09945883304727
12,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:10:00+05:30,173.05,175.85,157.0,160.2,1208025,1,1208025.0,166.52499999999998,OHLC/4,201166363.12499997,2248575992.0,11890970.0,189.09945883304727,2449742355.125,13098995.0,187.01758074760698
13,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:15:00+05:30,160.6,165.6,155.6,160.4,1172925,1,1172925.0,160.54999999999998,OHLC/4,188313108.74999997,2449742355.125,13098995.0,187.01758074760698,2638055463.875,14271920.0,184.84236626011077
14,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:20:00+05:30,160.2,165.85,155.4,161.05,1156870,1,1156870.0,160.625,OHLC/4,185822243.75,2638055463.875,14271920.0,184.84236626011077,2823877707.625,15428790.0,183.02651780372926
15,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:25:00+05:30,160.8,162.5,151.15,158.65,1697020,1,1697020.0,158.275,OHLC/4,268595840.5,2823877707.625,15428790.0,183.02651780372926,3092473548.125,17125810.0,180.5738559592218
16,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:30:00+05:30,158.25,162.0,151.75,153.4,1390935,1,1390935.0,156.35,OHLC/4,217472687.25,3092473548.125,17125810.0,180.5738559592218,3309946235.375,18516745.0,178.75421600151645
17,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:35:00+05:30,153.4,156.95,143.8,145.55,2358785,1,2358785.0,149.925,OHLC/4,353640841.125,3309946235.375,18516745.0,178.75421600151645,3663587076.5,20875530.0,175.49672159221825
18,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:40:00+05:30,145.35,151.8,142.0,149.55,2324985,1,2324985.0,147.175,OHLC/4,342179667.375,3663587076.5,20875530.0,175.49672159221825,4005766743.875,23200515.0,172.65852692817379
19,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:45:00+05:30,149.3,150.6,146.1,148.3,1207765,1,1207765.0,148.575,OHLC/4,179443684.875,4005766743.875,23200515.0,172.65852692817379,4185210428.75,24408280.0,171.46683128635036
20,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:50:00+05:30,148.35,154.0,146.9,153.2,1693965,1,1693965.0,150.6125,OHLC/4,255132303.56250003,4185210428.75,24408280.0,171.46683128635036,4440342732.3125,26102245.0,170.11344167187536
21,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 10:55:00+05:30,153.2,156.8,147.05,153.95,1693055,1,1693055.0,152.75,OHLC/4,258614151.25,4440342732.3125,26102245.0,170.11344167187536,4698956883.5625,27795300.0,169.05580740493897
22,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:00:00+05:30,153.55,157.65,150.15,153.4,1650220,1,1650220.0,153.6875,OHLC/4,253618186.25,4698956883.5625,27795300.0,169.05580740493897,4952575069.8125,29445520.0,168.19451888818742
23,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:05:00+05:30,153.4,158.4,150.3,151.5,1439815,1,1439815.0,153.4,OHLC/4,220867621.0,4952575069.8125,29445520.0,168.19451888818742,5173442690.8125,30885335.0,167.50482683165004
24,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:10:00+05:30,151.7,155.0,141.85,143.45,1683305,1,1683305.0,148.0,OHLC/4,249129140.0,5173442690.8125,30885335.0,167.50482683165004,5422571830.8125,32568640.0,166.49672294613777
25,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:15:00+05:30,143.55,146.45,136.15,137.1,2638155,1,2638155.0,140.8125,OHLC/4,371485200.9375,5422571830.8125,32568640.0,166.49672294613777,5794057031.75,35206795.0,164.57212398203245
26,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:20:00+05:30,136.95,140.7,124.55,126.65,3126565,1,3126565.0,132.2125,OHLC/4,413370975.0625,5794057031.75,35206795.0,164.57212398203245,6207428006.8125,38333360.0,161.93279187664479
27,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:25:00+05:30,126.65,131.95,126.15,128.05,2712125,1,2712125.0,128.2,OHLC/4,347694424.99999994,6207428006.8125,38333360.0,161.93279187664479,6555122431.8125,41045485.0,159.70386101693038
28,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:30:00+05:30,128.05,130.3,125.25,128.3,1701830,1,1701830.0,127.97500000000001,OHLC/4,217791694.25,6555122431.8125,41045485.0,159.70386101693038,6772914126.0625,42747315.0,158.4406909781936
