entry_time,exit_time,strike,option_type,expiry,entry_price,exit_price,size,pnl,pnl_pct
2025-08-01 10:19:00,2025-08-01 14:51:00,24750,CE,2025-08-07 00:00:00,155.0,96.1,-1,58.900000000000006,-38.0
2025-08-04 09:43:00,2025-08-04 14:51:00,24600,PE,2025-08-07 00:00:00,120.15,66.05,-1,54.10000000000001,-45.02704952143155
2025-08-05 12:13:00,2025-08-05 13:12:00,24700,CE,2025-08-07 00:00:00,81.95,60.35,-1,21.6,-26.3575350823673
2025-08-06 09:40:00,2025-08-06 10:22:00,24600,PE,2025-08-07 00:00:00,74.1,55.6,-1,18.499999999999993,-24.96626180836706
2025-08-06 10:35:00,2025-08-06 14:51:00,24550,PE,2025-08-07 00:00:00,61.5,58.1,-1,3.3999999999999986,-5.528455284552846
2025-08-07 10:01:00,2025-08-07 10:33:00,24450,PE,2025-08-07 00:00:00,24.2,43.8,-1,-19.599999999999998,80.99173553719008
2025-08-07 10:46:00,2025-08-07 11:10:00,24400,PE,2025-08-07 00:00:00,30.95,38.95,-1,-8.000000000000004,25.84814216478193
2025-08-07 11:11:00,2025-08-07 11:27:00,24400,PE,2025-08-07 00:00:00,38.75,28.8,-1,9.95,-25.677419354838705
2025-08-07 11:34:00,2025-08-07 11:40:00,24400,PE,2025-08-07 00:00:00,31.5,22.15,-1,9.350000000000001,-29.682539682539687
2025-08-07 13:11:00,2025-08-07 13:28:00,24400,PE,2025-08-07 00:00:00,27.3,53.65,-1,-26.349999999999998,96.52014652014651
2025-08-07 13:35:00,2025-08-07 14:51:00,24350,PE,2025-08-07 00:00:00,30.55,0.5,-1,30.05,-98.3633387888707
2025-08-08 12:50:00,2025-08-08 14:51:00,24450,CE,2025-08-14 00:00:00,159.25,128.8,-1,30.44999999999999,-19.12087912087911
2025-08-12 09:48:00,2025-08-12 10:13:00,24650,CE,2025-08-14 00:00:00,95.7,113.9,-1,-18.200000000000003,19.017763845350053
2025-08-12 10:27:00,2025-08-12 10:46:00,24650,CE,2025-08-14 00:00:00,95.05,70.8,-1,24.25,-25.512887953708574
2025-08-12 12:40:00,2025-08-12 12:57:00,24650,CE,2025-08-14 00:00:00,89.25,67.85,-1,21.400000000000006,-23.97759103641457
2025-08-13 09:40:00,2025-08-13 13:12:00,24600,CE,2025-08-14 00:00:00,74.9,87.85,-1,-12.949999999999989,17.28971962616821
2025-08-13 13:14:00,2025-08-13 14:14:00,24650,CE,2025-08-14 00:00:00,62.85,73.45,-1,-10.600000000000001,16.865552903739058
2025-08-13 14:23:00,2025-08-13 14:51:00,24650,CE,2025-08-14 00:00:00,64.55,67.45,-1,-2.9000000000000057,4.492641363284289
2025-08-14 10:07:00,2025-08-14 10:23:00,24600,PE,2025-08-14 00:00:00,34.15,24.75,-1,9.399999999999999,-27.52562225475842
2025-08-14 11:43:00,2025-08-14 14:51:00,24600,PE,2025-08-14 00:00:00,30.05,1.9,-1,28.150000000000002,-93.67720465890184
2025-08-18 09:34:00,2025-08-18 14:51:00,25000,CE,2025-08-21 00:00:00,139.0,88.95,-1,50.05,-36.007194244604314
2025-08-19 10:16:00,2025-08-19 12:24:00,24950,CE,2025-08-21 00:00:00,77.2,118.0,-1,-40.8,52.849740932642476
2025-08-19 12:38:00,2025-08-19 13:34:00,25050,CE,2025-08-21 00:00:00,73.9,53.9,-1,20.000000000000007,-27.063599458728017
2025-08-19 13:44:00,2025-08-19 14:07:00,25000,CE,2025-08-21 00:00:00,78.6,57.95,-1,20.64999999999999,-26.272264631043253
2025-08-19 14:26:00,2025-08-19 14:51:00,25000,CE,2025-08-21 00:00:00,77.75,74.2,-1,3.549999999999997,-4.565916398713821
2025-08-20 09:46:00,2025-08-20 10:53:00,25000,CE,2025-08-21 00:00:00,56.15,69.4,-1,-13.250000000000007,23.597506678539638
2025-08-20 11:05:00,2025-08-20 11:20:00,25050,CE,2025-08-21 00:00:00,48.6,57.8,-1,-9.199999999999996,18.930041152263357
2025-08-20 11:22:00,2025-08-20 14:51:00,25050,CE,2025-08-21 00:00:00,58.2,64.9,-1,-6.700000000000003,11.512027491408938
2025-08-21 09:49:00,2025-08-21 10:08:00,25100,CE,2025-08-21 00:00:00,31.15,48.95,-1,-17.800000000000004,57.14285714285716
2025-08-21 10:19:00,2025-08-21 14:51:00,25150,CE,2025-08-21 00:00:00,28.15,1.2,-1,26.95,-95.73712255772647
2025-08-29 09:37:00,2025-08-29 14:51:00,24450,PE,2025-09-02 00:00:00,70.3,70.0,-1,0.29999999999999716,-0.4267425320056861
2025-09-02 09:40:00,2025-09-02 10:13:00,24700,CE,2025-09-02 00:00:00,30.95,62.85,-1,-31.900000000000002,103.06946688206784
2025-09-02 10:19:00,2025-09-02 14:51:00,24750,CE,2025-09-02 00:00:00,32.65,0.35,-1,32.3,-98.92802450229709
2025-09-03 10:40:00,2025-09-03 12:12:00,24550,PE,2025-09-09 00:00:00,102.25,70.55,-1,31.700000000000003,-31.002444987775068
2025-09-04 09:58:00,2025-09-04 10:14:00,24950,CE,2025-09-09 00:00:00,92.55,63.45,-1,29.099999999999994,-31.442463533225272
